住所コード,市区町村名,大字名,字丁目名,街区,地番・戸番,建物名,階数,buildingCode,総部屋数,目標物数,個人の家屋数,事業所数,空き部屋数,その他数,目標物比率,個人の家屋比率,事業所比率,空き部屋比率,その他比率,面積,延床面積,目標物総面積,目標物平均面積,個人の家屋総面積,個人の家屋平均面積,空き部屋総面積,空き部屋平均面積,事業所総面積,事業所平均面積,その他総面積,その他平均面積,飲食件数,物販（食品）件数,物販（衣料）件数,物販（日用雑貨）件数,サービス（レンタル）件数,サービス（冠婚葬祭）件数,サービス（生活関連）件数,サービス（自動車）件数,サービス（その他）件数,量販店件数,金融・保険件数,不動産件数,インフラ件数,専門職件数,スポーツ施設件数,娯楽件数,ホテル・旅館件数,医療・福祉件数,公共件数,教育件数,宅配・引越・郵便件数,運輸件数,建設・設備件数,自動車関連件数,協同組合件数,宗教関連件数,一般業件数,lang,lat,部屋数推定フラグ
13101,千代田区,飯田橋,１丁目,1,1,ホテルグランドパレス,23,2017,39,0,0,14,0,25,0,0,35.9,0,64.1,3353.77,80490.48,0,0,0,0,0,0,9222.87,658.78,71267.61,2850.7,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,139.7501042,35.6973564,0
13101,千代田区,飯田橋,１丁目,3,8,ＫＤビル,4,3001,4,0,0,3,0,1,0,0,75,0,25,39.02,156.08,0,0,0,0,0,0,117.06,39.02,39.02,39.02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7499931,35.6979794,0
13101,千代田区,飯田橋,１丁目,3,4,河合ビル,5,3003,9,0,2,4,0,3,0,22.22,44.44,0,33.33,75.57,377.85,0,0,90.68,45.34,0,0,60.46,15.11,226.71,75.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7496489,35.6979686,0
13101,千代田区,飯田橋,１丁目,3,7,山崎ビル,5,3001,7,0,1,6,0,0,0,14.29,85.71,0,0,59.31,296.55,0,0,29.66,29.66,0,0,266.9,44.48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,139.7498106,35.6981622,0
13101,千代田区,飯田橋,１丁目,3,8,春場製作所,4,1008,2,0,1,1,0,0,0,50,50,0,0,41.61,166.44,0,0,124.83,124.83,0,0,41.61,41.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7499639,35.6980086,0
13101,千代田区,飯田橋,１丁目,3,7,ＪＣ九段下ビル,9,3004,13,0,0,13,0,0,0,0,100,0,0,159.45,1435.05,0,0,0,0,0,0,1435.05,110.39,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7498792,35.6980906,0
13101,千代田区,飯田橋,１丁目,3,2,曙杉館,11,3003,15,1,2,11,0,1,6.67,13.33,73.33,0,6.67,396.24,4358.64,132.08,132.08,792.48,396.24,0,0,3037.84,276.17,396.24,396.24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,139.7497653,35.6979908,0
13101,千代田区,飯田橋,１丁目,4,7,福岡第３ビル,7,3004,8,0,0,8,0,0,0,0,100,0,0,54.85,383.95,0,0,0,0,0,0,383.95,47.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7496522,35.6983247,0
13101,千代田区,飯田橋,１丁目,4,7,アパホテル東京九段下,11,2017,2,0,0,2,0,0,0,0,100,0,0,174.21,1916.31,0,0,0,0,0,0,1916.31,958.16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,139.7495519,35.6982194,0
13101,千代田区,飯田橋,１丁目,4,1,九段ウイズビル,9,3003,12,0,1,11,0,0,0,8.33,91.67,0,0,164.8,1483.2,0,0,164.8,164.8,0,0,1318.4,119.85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,139.7497017,35.6981608,0
