type,type
school,5
depart,1
hospital,4
,
office,0
welth,10
school,5
office,0
school,5
shop,2
school,5
school,5
office,0
hospital,4
office,0
culture,9
school,5
culture,9
school,5
other,12
hospital,4
hospital,4
lab,8
school,5
office,0
office,0
office,0
office,0
office,0
office,0
office,0
shop,2
welth,10
other,12
residence,6
school,5
welth,10
office,0
hotel,3
residence,6
school,5
office,0
residence,6
office,0
residence,6
other,12
office,0
shop,2
residence,6
other,12
,
office,0
office,0
office,0
office,0
office,0
office,0
office,0
hospital,4
office,0
hospital,4
residence,6
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
lab,8
office,0
school,5
office,0
office,0
office,0
office,0
office,0
,
office,0
school,5
office,0
school,5
school,5
,
office,0
school,5
office,0
office,0
office,0
office,0
school,5
school,5
office,0
office,0
office,0
residence,6
office,0
residence,6
residence,6
school,5
school,5
residence,6
office,0
office,0
other,12
residence,6
office,0
residence,6
residence,6
office,0
office,0
school,5
school,5
office,0
residence,6
school,5
,
school,5
conference,7
school,5
office,0
school,5
school,5
residence,6
office,0
hotel,3
office,0
office,0
office,0
shop,2
office,0
office,0
other,12
office,0
office,0
office,0
office,0
other,12
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
residence,6
office,0
office,0
office,0
office,0
office,0
other,12
office,0
office,0
school,5
office,0
residence,6
culture,9
residence,6
office,0
office,0
hotel,3
residence,6
residence,6
residence,6
office,0
office,0
residence,6
office,0
office,0
office,0
office,0
depart,1
other,12
depart,1
office,0
office,0
office,0
residence,6
office,0
residence,6
office,0
office,0
office,0
office,0
shop,2
shop,2
office,0
residence,6
office,0
office,0
,
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
depart,1
office,0
,
office,0
depart,1
hotel,3
office,0
office,0
office,0
office,0
office,0
hotel,3
office,0
office,0
office,0
,
office,0
office,0
office,0
office,0
,
office,0
office,0
office,0
office,0
office,0
shop,2
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
machine,11
office,0
office,0
office,0
office,0
hotel,3
office,0
other,12
office,0
office,0
office,0
office,0
office,0
office,0
office,0
other,12
,
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
culture,9
office,0
office,0
school,5
office,0
office,0
office,0
school,5
office,0
office,0
office,0
office,0
office,0
office,0
other,12
office,0
office,0
office,0
shop,2
office,0
office,0
office,0
office,0
office,0
office,0
depart,1
office,0
welth,10
office,0
shop,2
office,0
,
office,0
office,0
office,0
office,0
office,0
depart,1
office,0
office,0
office,0
office,0
depart,1
office,0
office,0
office,0
office,0
office,0
residence,6
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
shop,2
other,12
office,0
,
office,0
office,0
other,12
other,12
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
school,5
office,0
school,5
office,0
office,0
office,0
office,0
school,5
office,0
office,0
,
hospital,4
depart,1
office,0
office,0
office,0
depart,1
office,0
office,0
residence,6
,
office,0
school,5
office,0
office,0
office,0
depart,1
office,0
school,5
residence,6
school,5
office,0
office,0
office,0
office,0
machine,11
office,0
office,0
school,5
office,0
school,5
office,0
office,0
school,5
office,0
office,0
office,0
school,5
office,0
office,0
office,0
school,5
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
other,12
office,0
office,0
office,0
office,0
,
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
school,5
residence,6
office,0
office,0
residence,6
7,7
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
residence,6
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
shop,2
depart,1
office,0
depart,1
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
office,0
shop,2
office,0
shop,2
hotel,3
office,0
office,0
office,0
